crop,location,month,season,festival,previous_demand,supply,temperature,quantity_demanded,recommended_price
Pomegranate,Baramati,11,Monsoon,0,7532,5915,20.2,8006,23.14
Grapes,Hadapsar,2,Monsoon,1,6838,5187,29.5,9255,28.1
Grapes,Hadapsar,12,Kharif,0,5974,7286,20.2,4792,16.26
Grapes,Manchar,3,Monsoon,0,6911,6777,29.7,7107,20.49
Pomegranate,Narayangaon,4,Kharif,1,6799,8869,31.2,8424,21.33
Pomegranate,Baramati,7,Monsoon,0,9645,3448,17.4,6864,25.12
Onion,Baramati,6,Kharif,1,15437,15704,20.0,8880,21.76
Onion,Junnar,5,Monsoon,0,15687,9092,27.6,9162,30.1
Tomato,Pune,7,Kharif,1,16164,15719,18.8,11505,20.68
Rice (Basmati),Narayangaon,7,Rabi,0,8663,8939,16.0,6598,16.49
Pomegranate,Manchar,8,Kharif,0,9670,7241,11.3,7620,20.57
Grapes,Chakan,1,Kharif,0,7928,10412,21.8,6870,14.69
Onion,Baramati,3,Zaid,1,20267,10937,30.4,14250,36.97
Pomegranate,Hadapsar,11,Kharif,0,7576,5433,18.0,8559,24.69
Grapes,Baramati,12,Monsoon,0,8194,8922,20.6,6274,16.03
Tomato,Chakan,9,Monsoon,0,13259,12233,9.4,10577,22.52
Tomato,Chakan,10,Monsoon,0,14034,12075,9.2,9255,20.77
Grapes,Pune,10,Monsoon,0,10173,9012,12.5,7281,17.4
Soybean,Pune,1,Zaid,0,3002,10201,31.3,5373,12.76
Pomegranate,Chakan,8,Zaid,0,7725,10003,13.2,6306,14.45
Pomegranate,Pune,9,Monsoon,0,9579,7579,9.8,6876,18.95
Onion,Chakan,3,Monsoon,0,16073,11213,33.2,8904,26.54
Tomato,Chakan,12,Kharif,0,16627,10423,22.5,10831,25.61
Wheat,Pune,2,Kharif,0,5120,9477,33.3,4338,12.29
Potato,Baramati,8,Rabi,1,13640,14081,13.9,9517,15.15
Rice (Basmati),Narayangaon,2,Rabi,0,5617,8141,28.7,6592,17.68
Rice (Basmati),Baramati,8,Monsoon,0,6080,9262,14.6,8714,19.18
Grapes,Junnar,6,Rabi,0,7977,7533,21.7,7803,20.4
Rice (Basmati),Manchar,1,Monsoon,0,7254,7759,32.6,6543,18.18
Soybean,Pune,1,Monsoon,1,7752,8351,26.1,10372,25.03
Rice (Basmati),Junnar,1,Monsoon,0,5317,2446,24.7,8783,29.51
Pomegranate,Chakan,10,Rabi,0,8900,10947,12.0,4584,10.46
Onion,Pune,8,Kharif,0,13888,13181,10.2,9601,24.63
Pomegranate,Manchar,3,Kharif,0,7174,7989,28.0,6899,18.36
Soybean,Hadapsar,12,Monsoon,1,10421,6122,21.3,10041,27.88
Potato,Junnar,8,Monsoon,0,14786,12284,16.5,7795,13.27
Onion,Hadapsar,10,Kharif,0,18563,11806,10.2,9540,26.6
Grapes,Pune,8,Kharif,0,12244,9081,10.3,7689,17.91
Soybean,Chakan,5,Rabi,0,7525,11180,27.0,4723,10.31
Pomegranate,Baramati,1,Rabi,0,11265,2925,26.1,9759,30.25
Pomegranate,Narayangaon,10,Zaid,0,8810,8774,12.9,6953,17.27
Soybean,Chakan,4,Monsoon,0,5931,7011,31.6,6736,19.59
Wheat,Chakan,1,Kharif,0,6662,4330,25.9,6099,22.65
Rice (Basmati),Chakan,2,Zaid,0,5689,10425,28.4,6430,14.01
Potato,Pune,7,Monsoon,0,16059,13040,16.8,8006,12.45
Rice (Basmati),Pune,4,Rabi,0,11741,10720,29.4,7863,15.71
Tomato,Junnar,8,Zaid,1,14565,16247,15.0,10765,18.78
Tomato,Manchar,1,Kharif,0,13954,15873,26.5,7674,12.7
Wheat,Hadapsar,9,Zaid,0,8648,6175,12.2,8202,23.04
Pomegranate,Hadapsar,5,Zaid,0,5119,7173,30.6,6300,18.69
Pomegranate,Baramati,9,Rabi,1,8111,6651,9.1,9866,26.82
Tomato,Narayangaon,11,Rabi,0,11837,13698,19.1,6863,14.75
Grapes,Baramati,1,Zaid,1,4513,9174,26.7,9914,23.11
Wheat,Manchar,7,Zaid,0,6551,1811,15.9,6585,27.16
Grapes,Narayangaon,4,Monsoon,1,9109,8333,28.5,10905,25.86
Tomato,Junnar,12,Kharif,0,9871,16357,18.2,5641,10.0
Soybean,Manchar,5,Zaid,1,9687,3834,25.6,10757,32.38
Tomato,Hadapsar,6,Rabi,0,15734,14024,20.2,7852,15.74
Rice (Basmati),Narayangaon,12,Monsoon,0,10065,1975,18.2,9796,31.73
Wheat,Hadapsar,12,Monsoon,0,5360,11079,24.4,4351,10.0
Soybean,Junnar,1,Zaid,0,8682,6284,27.6,7866,22.37
Onion,Pune,3,Zaid,0,15010,13617,31.1,8542,22.39
Grapes,Pune,1,Zaid,0,8666,5855,20.0,7442,22.38
Potato,Chakan,2,Monsoon,1,15827,16855,25.4,9619,11.15
